4, 16x16, 4, 118427, 109890
4, 16x32, 4, 342177, 258533
4, 16x64, 4, 1001353, 600504
4, 32x16, 4, 205707, 217892
4, 32x32, 4, 604200, 496782
4, 32x64, 4, 1663964, 916868
4, 64x16, 4, 406163, 451079
4, 64x32, 4, 965082, 588795
4, 64x64, 4, 3794224, 1951134
8, 16x16, 4, 112492, 108718
8, 16x32, 4, 334235, 268476
8, 16x64, 4, 995795, 609809
8, 32x16, 4, 230147, 217423
8, 32x32, 4, 596514, 394440
8, 32x64, 4, 1349973, 669606
8, 64x16, 4, 413421, 435948
8, 64x32, 4, 734011, 480892
8, 64x64, 4, 2711488, 1448736
16, 16x16, 4, 70507, 63016
16, 16x32, 4, 330467, 258274
16, 16x64, 4, 1011304, 601963
16, 32x16, 4, 212166, 220653
16, 32x32, 4, 630491, 482873
16, 32x64, 4, 1673608, 805072
16, 64x16, 4, 404586, 449369
16, 64x32, 4, 1098074, 612403
16, 64x64, 4, 2712808, 1327900
