4, 16x16, 4, 299, 130
4, 16x32, 4, 743, 354
4, 16x64, 4, 2523, 1134
4, 32x16, 4, 488, 239
4, 32x32, 4, 1431, 718
4, 32x64, 4, 5046, 2328
4, 64x16, 4, 900, 519
4, 64x32, 4, 2781, 1464
4, 64x64, 4, 10001, 4733
8, 16x16, 4, 328, 124
8, 16x32, 4, 801, 387
8, 16x64, 4, 2499, 1137
8, 32x16, 4, 485, 256
8, 32x32, 4, 1419, 777
8, 32x64, 4, 5017, 2312
8, 64x16, 4, 899, 504
8, 64x32, 4, 2882, 1489
8, 64x64, 4, 10296, 4817
16, 16x16, 4, 292, 126
16, 16x32, 4, 795, 370
16, 16x64, 4, 2551, 1146
16, 32x16, 4, 528, 251
16, 32x32, 4, 1557, 771
16, 32x64, 4, 5109, 2332
16, 64x16, 4, 863, 493
16, 64x32, 4, 2848, 1481
16, 64x64, 4, 10209, 4813
